,Attraction,Theme,Issue Count,Recommended Action
0,Elevador de Santa Justa,Mobility (Wheelchair/Elevator/Ramps),146,Audit Mobility (Wheelchair/Elevator/Ramps) access pathways and signage.
1,Castelo De São Jorge,Mobility (Wheelchair/Elevator/Ramps),18,Audit Mobility (Wheelchair/Elevator/Ramps) access pathways and signage.
2,Mosteiro dos Jeronimos,Mobility (Wheelchair/Elevator/Ramps),12,Audit Mobility (Wheelchair/Elevator/Ramps) access pathways and signage.
3,Oceanário de Lisboa,Mobility (Wheelchair/Elevator/Ramps),10,Audit Mobility (Wheelchair/Elevator/Ramps) access pathways and signage.
4,Torre de Belém,Mobility (Wheelchair/Elevator/Ramps),9,Audit Mobility (Wheelchair/Elevator/Ramps) access pathways and signage.
